Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Status
acc--3,nan: 3,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3,38000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,95000.0,shopify,9999,deny,active
acc--5,nan: 5,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5,182000.0,shopify,9999,deny,active
acc--pata-luna-cromada,nan: Pata Luna Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATA-LUNA-CROMADA,34000.0,shopify,9999,deny,active
acc--3,nan: 3,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3,66000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,99000.0,shopify,9999,deny,active
acc-tapiz-lavable-ecoclean-nordic-2-cuerpos,Tapiz Lavable Ecoclean: Nordic 2 Cuerpos,Accesorio opcional de tipo Tapiz Lavable Ecoclean proveniente de Magento.,Magento Import,Tapiz Lavable Ecoclean,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-NORDIC-2-CUERPOS,40000.0,shopify,9999,deny,active
acc--nordic-3-cuerpos,nan: Nordic 3 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-NORDIC-3-CUERPOS,60000.0,shopify,9999,deny,active
acc--nordic-4-cuerpos,nan: Nordic 4 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-NORDIC-4-CUERPOS,80000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,211000.0,shopify,9999,deny,active
acc--5,nan: 5,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5,327000.0,shopify,9999,deny,active
acc--3,nan: 3,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3,111000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,232000.0,shopify,9999,deny,active
acc--5,nan: 5,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5,360000.0,shopify,9999,deny,active
acc-accesorio-revistero,Accesorio: Revistero,Accesorio opcional de tipo Accesorio proveniente de Magento.,Magento Import,Accesorio,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-REVISTERO,48500.0,shopify,9999,deny,active
acc--3,nan: 3,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3,99000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,222000.0,shopify,9999,deny,active
acc--5,nan: 5,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5,330000.0,shopify,9999,deny,active
acc--3,nan: 3,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3,45000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,90000.0,shopify,9999,deny,active
acc--3,nan: 3,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3,61000.0,shopify,9999,deny,active
acc--4,nan: 4,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4,141000.0,shopify,9999,deny,active
acc--5,nan: 5,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5,214000.0,shopify,9999,deny,active
acc--4-cuerpos,nan: 4 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-4-CUERPOS,182000.0,shopify,9999,deny,active
acc--5-cuerpos,nan: 5 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-5-CUERPOS,269000.0,shopify,9999,deny,active
acc--3-cuerpos,nan: 3 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3-CUERPOS,137000.0,shopify,9999,deny,active
acc-accesorios-patínes-negros-en-vez-de-ruedas,Accesorios: Patínes Negros en vez de ruedas,Accesorio opcional de tipo Accesorios proveniente de Magento.,Magento Import,Accesorios,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATÍNES-NEGROS-EN-VEZ-DE-RUEDAS,9990.0,shopify,9999,deny,active
acc--ruedas-desmopán,nan: Ruedas Desmopán,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDAS-DESMOPÁN,8430.0,shopify,9999,deny,active
acc--aro-cromado,nan: Aro Cromado,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ARO-CROMADO,9000.0,shopify,9999,deny,active
acc--brazos-regulables,nan: Brazos Regulables ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES,25000.0,shopify,9999,deny,active
acc--aro-cromado,nan: Aro Cromado,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ARO-CROMADO,13000.0,shopify,9999,deny,active
acc--nordic,nan: Nordic,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-NORDIC,17000.0,shopify,9999,deny,active
acc--brazos-fijo-pp,nan: Brazos fijo PP,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-FIJO-PP,10000.0,shopify,9999,deny,active
acc--brazos-regulables-fritz-en-pp,nan: Brazos Regulables Fritz en PP,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-FRITZ-EN-PP,20000.0,shopify,9999,deny,active
acc-opcional-aro-cromado,Opcional: Aro cromado,Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ARO-CROMADO,16000.0,shopify,9999,deny,active
acc--ruedas-desmopan-50mm-para-piso-flotante,nan: Ruedas Desmopan 50mm (Para Piso Flotante),Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDAS-DESMOPAN-50MM-PARA-PISO-FLOTANTE,13350.0,shopify,9999,deny,active
acc--nordic,nan: Nordic,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-NORDIC,34000.0,shopify,9999,deny,active
acc-accesorios-patín-negro,Accesorios: Patín Negro,Accesorio opcional de tipo Accesorios proveniente de Magento.,Magento Import,Accesorios,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATÍN-NEGRO,8000.0,shopify,9999,deny,active
acc--brazo-regulable,nan: Brazo Regulable ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZO-REGULABLE,25000.0,shopify,9999,deny,active
acc--brazos-fijos-golf-pp,nan: Brazos Fijos Golf PP,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-FIJOS-GOLF-PP,10000.0,shopify,9999,deny,active
acc--brazos-regulables-fritz-en-pp,nan: Brazos Regulables Fritz en PP,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-FRITZ-EN-PP,18000.0,shopify,9999,deny,active
acc--brazos-regulables-2d-pu,nan: Brazos Regulables 2D PU,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-BRAZOS-REGULABLES-2D-PU,25000.0,shopify,9999,deny,active
