silla-y10-alta,"[""acc--c-soft"", ""acc--ruedas-desmopan-goma-65mm-para-piso-flotante"", ""acc-opcionales-mecanismo-con-4-posiciones-de-bloqueo"", ""acc--brazos-regulables-en-3d-pu"", ""acc-patas-base-aluminio"", ""acc--desplazador-de-asiento"", ""acc--cabecero""]"
silla-y10-media,"[""acc--ruedas-desmop\u00e1n-50-mm-para-piso-flotante"", ""acc--c-soft"", ""acc--mecanismo-con-4-posiciones-de-bloqueo"", ""acc--base-cromada"", ""acc-opcional-desplazador-de-asiento"", ""acc--brazo-regulable-en-pp"", ""acc--brazo-regulable-2d""]"
silla-alex-alta-pivotal,"[""acc--brazos-regulables-fritz-pp"", ""acc--base-cromada"", ""acc--brazos-regulables-vento-en-pu"", ""acc--nordic"", ""acc--brazos-fijos-golf-pp""]"
silla-alex-media-pivotal,"[""acc--brazos-regulables-fritz-pp"", ""acc--base-cromada"", ""acc--nordic"", ""acc--brazos-fijos-golf-pp"", ""acc--brazos-regulables-en-tpu""]"
silla-aviator-alta-pivotal,"[""acc--brazos-regulables-fritz-pp"", ""acc--base-cromada"", ""acc--nordic"", ""acc--brazos-regulables-2d-tpu"", ""acc-opcionales-ruedas-desmopan""]"
silla-aviator-media-pivotal,"[""acc--nordic"", ""acc--brazos-regulables-fritz-pp"", ""acc--brazos-regulables-2d-tpu"", ""acc--base-cromada""]"
silla-bologna-pivotal,"[""acc--brazo-regulable""]"
silla-cozy-alta-pivotal,"[""acc--base-aluminio"", ""acc--brazo-regulable"", ""acc--base-cromada""]"
silla-drop-alta-pivotal,"[""acc--base-aluminio"", ""acc--brazo-regulable"", ""acc--base-cromada""]"
silla-duomo,"[""acc--alto""]"
silla-flash-alta-pivotal,"[""acc--base-aluminio"", ""acc--brazo-regulable"", ""acc--base-cromada""]"
silla-logic,"[""acc-opcional-ruedas-desmopan-50mm""]"
silla-matrix-alta-pivotal,"[""acc--base-aluminio"", ""acc--brazo-regulable-brc-19-cr-estructura-aluminio"", ""acc--brazo-regulable-brc-28-pp-estructura-negra"", ""acc--base-cromada"", ""acc--brazo-fijo-brc-24""]"
silla-torino-1-alta-pivotal,"[""acc--brazo-regulable""]"
silla-rudy-alta-pivotal,"[""acc-patas-base-cromada"", ""acc--nordic"", ""acc--brazos-fijos-golf"", ""acc--brazos-regulables-2d-en-pu"", ""acc--brazos-regulables-fritz-en-pp""]"
silla-rudy-media-pivotal,"[""acc--brazos-regulables-fritz-pp"", ""acc--brazos-regulables-2d-pu"", ""acc--base-cromada"", ""acc--nordic"", ""acc--brazos-fijos-golf-pp""]"
silla-torino-alta-pivotal,"[""acc--nordic"", ""acc--brazos-regulables-pp"", ""acc--brazos-fijos-pp"", ""acc--base-cromada""]"
silla-torino-media-pivotal,"[""acc--nordic"", ""acc--brazos-regulables-pp"", ""acc--brazos-fijos-pp"", ""acc--base-cromada""]"
silla-dream-malla,"[""acc--patas-cromadas"", ""acc--brazos-fijos"", ""acc--estructura-trineo-cromado""]"
silla-dream-tapizada,"[""acc--patas-cromadas"", ""acc--brazos-fijos""]"
silla-dream-tapizada-trineo,"[""acc--brazos-fijos""]"
silla-isonet,"[""acc--brazos-fijos"", ""acc--eco-clean""]"
silla-flex,"[""acc--trineo-cromado""]"
silla-iso-revolution-tapizada,"[""acc--brazos-pl\u00e1sticos-negros-con-pad-negro"", ""acc--patas-cromadas""]"
silla-iso-smart-completa-tap,"[""acc--patas-grises"", ""acc--patas-cromadas"", ""acc--brazos-fijos""]"
silla-isosceles,"[""acc--patas-grises"", ""acc--patas-cromadas"", ""acc--brazos-fijos"", ""acc--paleta-nacional-universitaria""]"
silla-kyos-asiento-tapizado,"[""acc--patas-cromadas"", ""acc--brazos-fijos"", ""acc--estructura-trineo-cromada""]"
silla-kyos-tapizada,"[""acc--patas-cromadas"", ""acc--brazos-fijos"", ""acc--estructura-trineo-cromada""]"
silla-pinko-respaldo-malla,"[""acc--nordic"", ""acc--par-de-brazos""]"
silla-prisma,"[""acc--nordic"", ""acc--par-de-brazos""]"
silla-urban-4-patas,"[""acc--nordic""]"
silla-urban-trineo,"[""acc--nordic""]"
silla-atton-alto,"[""acc-opcional-ruedas-desmopan-65mm-para-piso-flotante""]"
silla-cp,"[""acc--perchero"", ""acc-accesorios-apoyo-lumbar"", ""acc--cabecero-ancho-malla-negro""]"
silla-sabrina-standar,"[""acc--apoyo-lumbar"", ""acc-opcionales-cabecero-ancho-malla-fijo""]"
silla-cozy-syncro,"[""acc--base-aluminio"", ""acc--brazo-regulable"", ""acc--base-cromada""]"
silla-drop-syncro,"[""acc--base-aluminio"", ""acc--brazo-regulable"", ""acc--base-cromada""]"
silla-matrix-syncro,"[""acc--base-aluminio"", ""acc--base-cromada"", ""acc--brazo-regulable-brc-28-pp"", ""acc--brazo-fijo-brc-24"", ""acc--brazo-regulable-brc-19-cr""]"
silla-atton-medio,"[""acc-opcional-ruedas-desmopan-65mm-para-piso-flotante""]"
silla-carson-baja-negra,"[""acc--si""]"
silla-carson-baja-gris,"[""acc--si""]"
silla-big-boss,"[""acc-opciones-extra-cabecero"", ""acc--desplazador""]"
silla-alia-tapizada-alta,"[""acc--cojines-tapizados-en-cuero-italiano""]"
silla-q3-gris,"[""acc--rueda-desmopan"", ""acc-componente-adicional-base-aluminio""]"
silla-big-boss-blanca,"[""acc-opcional-cabecero""]"
