Parent_SKU,Accessory_Group,Accessory_Title,Accessory_Handle
VC641,,Aro Cromado,acc--aro-cromado
VC643,,Con Brazos,acc--con-brazos
VC645,,Con Brazos,acc--con-brazos
VC648,,Si,acc--si
VC662,,Sincrónico/ / Brazos 3D,acc--sincrónico-brazos-3d
VC662,OPCIONALES,Cabecero,acc-opcionales-cabecero
VC663,OPCIONAL,Cabecero ,acc-opcional-cabecero
VC664,,3 Cuerpos,acc--3-cuerpos
VC664,,4 Cuerpos,acc--4-cuerpos
VC664,,5 Cuerpos,acc--5-cuerpos
VC664,Accesorio,Revistero,acc-accesorio-revistero
VC665,,Patas cromadas ,acc--patas-cromadas
VC665,,Brazos fijos,acc--brazos-fijos
VC672,OPCIONALES ,Base Aluminio,acc-opcionales-base-aluminio
VC672,,Cabecero ,acc--cabecero
VC685,,Blanco,acc--blanco
VC685,,Con Brazos,acc--con-brazos
vc686,,Blanco,acc--blanco
vc686,,Con Brazos,acc--con-brazos
VC687,Brazos,Con brazos,acc-brazos-con-brazos
VC688,,Blanco,acc--blanco
VC689,OPCIONAL,Cabecero de ecocuero o tela,acc-opcional-cabecero-de-ecocuero-o-tela
VC689,,Cabecero de Cuero natural ,acc--cabecero-de-cuero-natural
VC689,,Tapiz Cuero natural (consultar opción de colores),acc--tapiz-cuero-natural-consultar-opción-de-colores
VC690,,Blanco,acc--blanco
VC690,,Estructura cromada,acc--estructura-cromada
VC692,,Blanco,acc--blanco
VC701,Opcional,Base Cromada,acc-opcional-base-cromada
VC701,,Cabecero,acc--cabecero
VC704,,2 Cuerpos,acc--2-cuerpos
VC704,,3 Cuerpos,acc--3-cuerpos
VC708,Asiento tapizado,Cojín tapizado en tela Verona,acc-asiento-tapizado-cojín-tapizado-en-tela-verona
VC708,,Cojín tapizado en tela Nordic,acc--cojín-tapizado-en-tela-nordic
VC712,OPCIONALES,Cabecero,acc-opcionales-cabecero
VC725,,Kit Patines  (5 unidades),acc--kit-patines-5-unidades
VC725,,Aro Metálico negro,acc--aro-metálico-negro
VC725,,Estrella y Aro Cromado,acc--estrella-y-aro-cromado
VC727 ,,Cabecero negro ,acc--cabecero-negro
CV731,,3,acc--3
CV731,,4,acc--4
CV731,,5,acc--5
CV731,,6,acc--6
CV731,,Pata Luna Cromada ,acc--pata-luna-cromada
CV731,,Ecocuero Ecolife,acc--ecocuero-ecolife
CV733,,Blanco,acc--blanco
CV733,,Brazos,acc--brazos
CV733,,Paleta Universitaria ,acc--paleta-universitaria
CV734,,Blanco,acc--blanco
CV734,,Par de brazos,acc--par-de-brazos
CV734,,Paleta Universitaria,acc--paleta-universitaria
CV735,,Con Brazos,acc--con-brazos
CV735,,Paleta Universitaria ,acc--paleta-universitaria
CV735,,Rejilla universitaria ,acc--rejilla-universitaria
CV738,,Base Cromada,acc--base-cromada
CV740,COMPONENTES ADICIONALES,Cabecero ,acc-componentes-adicionales-cabecero
CV740,,Base Aluminio,acc--base-aluminio
CV742,Base ,Base Aluminio,acc-base-base-aluminio
CV747,,Con brazos pp,acc--con-brazos-pp
CV752,,Nordic,acc--nordic
CV753,,"1,3 mts ancho x 0,6 mts profundidad",acc--13-mts-ancho-x-06-mts-profundidad
CV753,,"1,4 mts Ancho x 0,6 mts Profundidad ",acc--14-mts-ancho-x-06-mts-profundidad
CV753,,"1,5  mts Ancho x 0,6 mts Profundidad ",acc--15-mts-ancho-x-06-mts-profundidad
CV753,,"1,6 mts Ancho x 0,7 mts Profundidad ",acc--16-mts-ancho-x-07-mts-profundidad
CV753,,"1,7 mts Ancho x 0,7 mts Profundidad ",acc--17-mts-ancho-x-07-mts-profundidad
CV753,Opcionales,Cajonera Móvil Laminada 3 con Cajones,acc-opcionales-cajonera-móvil-laminada-3-con-cajones
CV754,,"1,6 x 1,5 mts / 0,6x 0,5 mts Profundidad ",acc--16-x-15-mts-06x-05-mts-profundidad
CV754,,"1,7 x 1,6 mts / 0,7x 0,6 mts Profundidad ",acc--17-x-16-mts-07x-06-mts-profundidad
CV754,Opcionales,Cajonera Móvil Laminada 3 con Cajones,acc-opcionales-cajonera-móvil-laminada-3-con-cajones
CV755,,"1,3 mts ancho x 0,6 mts profundidad",acc--13-mts-ancho-x-06-mts-profundidad
CV755,,"1,4 mts Ancho x 0,6 mts Profundidad ",acc--14-mts-ancho-x-06-mts-profundidad
CV755,,"1,5  mts Ancho x 0,6 mts Profundidad ",acc--15-mts-ancho-x-06-mts-profundidad
CV755,,"1,6 mts Ancho x 0,7 mts Profundidad ",acc--16-mts-ancho-x-07-mts-profundidad
CV755,,"1,7 mts Ancho x 0,7 mts Profundidad ",acc--17-mts-ancho-x-07-mts-profundidad
CV755,Opcionales,Cajonera Móvil Laminada 3 con Cajones,acc-opcionales-cajonera-móvil-laminada-3-con-cajones
CV756,,"1,3 mts ancho x 0,6 mts profundidad",acc--13-mts-ancho-x-06-mts-profundidad
CV756,,"1,4 mts Ancho x 0,6 mts Profundidad ",acc--14-mts-ancho-x-06-mts-profundidad
CV756,,"1,5  mts Ancho x 0,6 mts Profundidad ",acc--15-mts-ancho-x-06-mts-profundidad
CV756,,"1,6 mts Ancho x 0,7 mts Profundidad ",acc--16-mts-ancho-x-07-mts-profundidad
CV756,,"1,7 mts Ancho x 0,7 mts Profundidad ",acc--17-mts-ancho-x-07-mts-profundidad
CV757,,70 cms de  Diámetro,acc--70-cms-de-diámetro
CV757,,80 cms de  Diámetro,acc--80-cms-de-diámetro
CV757,,90 cms de  Diámetro,acc--90-cms-de-diámetro
CV757,,100 cms de  Diámetro,acc--100-cms-de-diámetro
CV758,,"1,3 mts ancho x 0,6 mts profundidad",acc--13-mts-ancho-x-06-mts-profundidad
CV758,,"1,4 mts Ancho x 0,6 mts Profundidad ",acc--14-mts-ancho-x-06-mts-profundidad
CV758,,"1,5  mts Ancho x 0,6 mts Profundidad ",acc--15-mts-ancho-x-06-mts-profundidad
CV758,,"1,6 mts Ancho x 0,7 mts Profundidad ",acc--16-mts-ancho-x-07-mts-profundidad
CV758,,"1,7 mts Ancho x 0,7 mts Profundidad ",acc--17-mts-ancho-x-07-mts-profundidad
CV759,,3,acc--3
CV759,,4,acc--4
CV763,,Base Aluminio,acc--base-aluminio
CV763,,Base Aluminio + Piston 140 mm,acc--base-aluminio-piston-140-mm
CV765,,2 Brazos mas paleta,acc--2-brazos-mas-paleta
CV765,,Eco Clean,acc--eco-clean
CV774,,Blanco,acc--blanco
CV779,,Par de Brazos Negros,acc--par-de-brazos-negros
CV779,,Nordic,acc--nordic
CV781,,Par Brazos Iso,acc--par-brazos-iso
CV783,,Con cabecero,acc--con-cabecero
CV784,,60 CM,acc--60-cm
CV784,,100 CM,acc--100-cm
CV786,,Base estrella/ruedas,acc--base-estrellaruedas
CV787,Base ,Base Aluminio,acc-base-base-aluminio
CV788,,2 Cuerpos,acc--2-cuerpos
CV788,,3 Cuerpos,acc--3-cuerpos
CV790,,Base Cromada,acc--base-cromada
CV790,,Base Aluminio Pulido,acc--base-aluminio-pulido
CV790,Brazos,Brazo Regulable PP 2D,acc-brazos-brazo-regulable-pp-2d
CV790,,Brazo Regulable 3D PU,acc--brazo-regulable-3d-pu
CV790,Extras,Cabecero,acc-extras-cabecero
