Handle,Title,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Image Command
banqueta-kyos-tapizada-completa,Banqueta Kyos Tapizada Completa,Title,Default Title,VC99,353000.0,https://vicca.cl/media/catalog/product/b/a/banqueta_kyos_respaldo_asiento_tapizado_2_vicca.jpg,MERGE
banqueta-kyos-asiento-tapizada,Banqueta Kyos Asiento Tapizada,Title,Default Title,VC100,360000.0,https://vicca.cl/media/catalog/product/b/a/banqueta_espera_kyos_asiento_tapizado_y_respaldo_plastico_1_vicca.jpg,MERGE
banqueta-kyos-polipropileno,Banqueta Kyos Polipropileno,Title,Default Title,VC101,333000.0,https://vicca.cl/media/catalog/product/b/a/banqueta_de_espera_kyos_plastico_polipropileno_1_vicca.jpg,MERGE
banqueta-layer,Banqueta Layer,Title,Default Title,VC102,159000.0,https://vicca.cl/media/catalog/product/l/a/layer2.jpg,MERGE
banqueta-shell-pla-stica,Banqueta Shell Plástica,Title,Default Title,VC106,244000.0,https://vicca.cl/media/catalog/product/b/a/banqueta_espera_shell_plastica_polipropileno_1_vicca.jpg,MERGE
banqueta-shell-tapizada,Banqueta Shell Mixta,Title,Default Title,VC107,298000.0,https://vicca.cl/media/catalog/product/b/a/banqueta_espera_shell_asiento_tapizado_respaldo_plastico_1_vicca.jpg,MERGE
butaca-florencia,Butaca Florencia,Title,Default Title,VC108,422000.0,https://vicca.cl/media/catalog/product/b/u/butaca_florencia_tapizada_1_vicca.jpg,MERGE
silla-bologna-cajero,Silla Bologna Cajero,Title,Default Title,VC109,112000.0,https://vicca.cl/media/catalog/product/s/i/silla_bologna_cajero_2_vicca.jpg,MERGE
silla-iso-cajero,Silla Iso Cajero,Title,Default Title,VC112,88800.0,https://vicca.cl/media/catalog/product/n/o/nova2.jpg,MERGE
silla-prisma-cajero,Silla Prisma Cajero,Title,Default Title,VC113,144000.0,https://vicca.cl/media/catalog/product/p/r/prisma2_1.jpg,MERGE
silla-rudy-media-cajero,Silla Rudy Media Cajero,Title,Default Title,VC114,93000.0,https://vicca.cl/media/catalog/product/r/u/rudy2.jpg,MERGE
silla-torino-1-cajero,Silla Torino 1 Cajero,Title,Default Title,VC116,112000.0,https://vicca.cl/media/catalog/product/t/o/to2.jpg,MERGE
silla-torino-cajero-media,Silla Torino Cajero Media,Title,Default Title,VC119,122000.0,https://vicca.cl/media/catalog/product/c/a/ca2.jpg,MERGE
silla-tulip-cajero,Silla Tulip Cajero,Title,Default Title,VC120,130000.0,https://vicca.cl/media/catalog/product/s/i/silla_tulip_cajero_2_vicca_1.jpg,MERGE
silla-universitaria-dream-respaldo-malla,Silla Universitaria Dream Respaldo Malla,Title,Default Title,VC117,185000.0,https://vicca.cl/media/catalog/product/s/i/silla_universitaria_dream_respaldo_malla_asiento_tapizado_1_vicca_2.jpg,MERGE
silla-universitaria-iso-revolution,Silla Iso Revolution Universitaria,Title,Default Title,VC121,155000.0,https://vicca.cl/media/catalog/product/s/i/silla_universitaria_iso_revolution_disen_o_1_vicca_2.jpg,MERGE
silla-universitaria-spring-plastica-paleta-nacional,Silla Universitaria Spring Plastica Paleta Nacional,Title,Default Title,VC118,65000.0,https://vicca.cl/media/catalog/product/s/i/silla_universitaria_iso_smart_plastica_paleta_nacional_1_vicca.jpg,MERGE
silla-universitaria-kyos,Silla Universitaria Kyos tapizada,Title,Default Title,VC111,139530.0,https://vicca.cl/media/catalog/product/s/i/silla_universitaria_kyos_tapizada_2_vicca.jpg,MERGE
silla-universitaria-layer,Silla Universitaria Layer,Title,Default Title,VC19,77000.0,https://vicca.cl/media/catalog/product/l/a/layer2_2.jpg,MERGE
silla-universitaria-prisma,Silla Universitaria Prisma,Title,Default Title,VC20,77000.0,https://vicca.cl/media/catalog/product/0/9/092_prisma-universitaria_02-300x300_1.jpg,MERGE
silla-universitaria-shell,Silla Universitaria Shell,Title,Default Title,VC21,133000.0,https://vicca.cl/media/catalog/product/s/i/silla_universitaria_shell_plastica_paleta_antipanico_1_vicca.jpg,MERGE
bergere-clinico,Bergere Clinico,Title,Default Title,VC126,499000.0,https://vicca.cl/media/catalog/product/b/e/bergere_sillon_clinico_descanso_reposo_pacientes_2_vicca.jpg,MERGE
bergere-elite,Bergere Elite,Title,Default Title,VC127,595000.0,https://vicca.cl/media/catalog/product/b/e/bergere_elite_sillon_sofa_descanso_1_vicca.jpg,MERGE
bergere-simple,Bergere Simple,Title,Default Title,VC128,499000.0,https://vicca.cl/media/catalog/product/b/e/bergere_simple_sillon_sofa_descanso_reposo_2_vicca.jpg,MERGE
poltrona-monet,Poltrona Monet,Title,Default Title,VC132,352400.0,https://vicca.cl/media/catalog/product/m/o/monet4_1_1_1.jpg,MERGE
pouf-cuadrado-redondo,Pouf Cuadrado - Redondo,Title,Default Title,VC135,126000.0,https://vicca.cl/media/catalog/product/p/o/pouf_redondos_descanso_2_vicca.jpg,MERGE
sofa-di-loria,Sofá Di Loria,Title,Default Title,VC136,384000.0,https://vicca.cl/media/catalog/product/d/i/di1.jpg,MERGE
sofa-duccio,Sofá Duccio,Title,Default Title,VC137,606600.0,https://vicca.cl/media/catalog/product/d/u/duccio6.jpg,MERGE
sofa-prada,Sofá Prada,Title,Default Title,VC139,369000.0,https://vicca.cl/media/catalog/product/p/r/prada.jpg,MERGE
sofa-venezia,Sofá Venezia,Title,Default Title,VC140,285000.0,https://vicca.cl/media/catalog/product/s/o/sofa_venezia_1_cuerpo_tapizado_descanso_vicca.jpg,MERGE
silla-iso-smart-italiana-polipropileno,Silla Iso Smart Italiana Polipropileno,Title,Default Title,VC143,43000.0,https://vicca.cl/media/catalog/product/s/i/silla_iso_smart_visita_casino_cafeteria_1_vicca.jpg,MERGE
silla-kyos-polipropileno,Silla Kyos Polipropileno,Title,Default Title,VC144,88800.0,https://vicca.cl/media/catalog/product/k/y/kyos_pp_gris-min.jpg,MERGE
silla-layer,Silla Layer ,Title,Default Title,VC145,45000.0,https://vicca.cl/media/catalog/product/l/a/la4.jpg,MERGE
silla-nova-iso-italiana,Silla Novaiso Italiana Colores,Title,Default Title,VC146,38300.0,https://vicca.cl/media/catalog/product/c/a/captura_de_pantalla_2024-11-12_a_la_s_15.16.48.png,MERGE
silla-pismo,Silla Pismo,Title,Default Title,VC148,66000.0,https://vicca.cl/media/catalog/product/p/i/pismo1.jpg,MERGE
silla-race,Silla Race,Title,Default Title,VC253,60000.0,https://vicca.cl/media/catalog/product/r/a/race1.jpg,MERGE
silla-ricciolina,Silla Ricciolina,Title,Default Title,VC151,88800.0,https://vicca.cl/media/catalog/product/s/i/silla_ricciolina_polipropileno_casino_restaurant_bar_cafeteria_5_vicca.jpg,MERGE
silla-stratos,Silla Stratos,Title,Default Title,VC154,88000.0,https://vicca.cl/media/catalog/product/s/i/silla_stratos_restautante_casino_bar_cafeteria_1_vicca.jpg,MERGE
silla-vesper-sin-brazos,Silla Vesper sin brazos,Title,Default Title,VC156,108000.0,https://vicca.cl/media/catalog/product/s/i/silla_vesper_sin_brazos_plastica_restaurante_casino_cafeteria_bar_2_vicca.jpg,MERGE
silla-leep-loop,Silla Leep,Title,Default Title,VC158,190000.0,https://vicca.cl/media/catalog/product/l/e/leep2.jpg,MERGE
silla-black,Silla Black,Title,Default Title,VC160,160000.0,https://vicca.cl/media/catalog/product/b/1/b1.jpg,MERGE
silla-boss,Silla Boss,Title,Default Title,VC161,188000.0,https://vicca.cl/media/catalog/product/s/i/silla_boss_ejecutiva_vicca.jpg,MERGE
silla-flash-tapizada-syncro,Silla Flash Alta Tapizada Syncro,Title,Default Title,VC166,185000.0,https://vicca.cl/media/catalog/product/s/i/silla_flash_synro_tapizada_1_vicca.jpg,MERGE
silla-identity-isa,Silla Identity,Title,Default Title,VC168,156000.0,https://vicca.cl/media/catalog/product/i/d/ide5.jpg,MERGE
silla-join-blanca,Silla Join Blanca,Title,Default Title,VC172,266000.0,https://vicca.cl/media/catalog/product/j/o/joi4.jpg,MERGE
silla-join-negra,Silla Join Negra,Title,Default Title,VC173,211000.0,https://vicca.cl/media/catalog/product/j/o/jo2.jpg,MERGE
silla-q3,Silla Q3 colores,Title,Default Title,VC178,140000.0,https://vicca.cl/media/catalog/product/q/3/q3.jpg,MERGE
