silla-y10-alta,"[""acc-patas-base-aluminio"", ""acc--brazos-regulables-en-3d-pu"", ""acc-opcionales-mecanismo-con-4-posiciones-de-bloqueo"", ""acc--ruedas-desmopan-goma-65mm-para-piso-flotante"", ""acc--desplazador-de-asiento"", ""acc--cabecero"", ""acc--c-soft""]"
silla-y10-media,"[""acc--base-cromada"", ""acc--brazo-regulable-en-pp"", ""acc--brazo-regulable-2d"", ""acc-opcional-desplazador-de-asiento"", ""acc--mecanismo-con-4-posiciones-de-bloqueo"", ""acc--ruedas-desmopan-50-mm-para-piso-flotante"", ""acc--c-soft""]"
silla-alex-alta-pivotal,"[""acc--base-cromada"", ""acc--brazos-fijos-golf-pp"", ""acc--brazos-regulables-fritz-pp"", ""acc--brazos-regulables-vento-en-pu"", ""acc--nordic""]"
silla-alex-media-pivotal,"[""acc--base-cromada"", ""acc--brazos-fijos-golf-pp"", ""acc--brazos-regulables-fritz-pp"", ""acc--brazos-regulables-en-tpu"", ""acc--nordic""]"
silla-aviator-alta-pivotal,"[""acc--base-cromada"", ""acc--brazos-regulables-fritz-pp"", ""acc--brazos-regulables-2d-tpu"", ""acc--nordic"", ""acc-opcionales-ruedas-desmopan""]"
silla-aviator-media-pivotal,"[""acc--base-cromada"", ""acc--brazos-regulables-fritz-pp"", ""acc--brazos-regulables-2d-tpu"", ""acc--nordic""]"
silla-bologna-pivotal,"[""acc--brazo-regulable""]"
silla-cozy-alta-pivotal,"[""acc--base-cromada"", ""acc--base-aluminio"", ""acc--brazo-regulable""]"
silla-drop-alta-pivotal,"[""acc--base-cromada"", ""acc--base-aluminio"", ""acc--brazo-regulable""]"
silla-duomo,"[""acc--alto""]"
silla-flash-alta-pivotal,"[""acc--base-cromada"", ""acc--base-aluminio"", ""acc--brazo-regulable""]"
silla-logic,"[""acc-opcional-ruedas-desmopan-50mm""]"
silla-matrix-alta-pivotal,"[""acc--base-cromada"", ""acc--base-aluminio"", ""acc--brazo-fijo-brc-24"", ""acc--brazo-regulable-brc-28-pp-estructura-negra"", ""acc--brazo-regulable-brc-19-cr-estructura-aluminio""]"
silla-torino-1-alta-pivotal,"[""acc--brazo-regulable""]"
silla-rudy-alta-pivotal,"[""acc--brazos-fijos-golf"", ""acc--brazos-regulables-fritz-en-pp"", ""acc--brazos-regulables-2d-en-pu"", ""acc--nordic"", ""acc-patas-base-cromada""]"
silla-rudy-media-pivotal,"[""acc--base-cromada"", ""acc--brazos-fijos-golf-pp"", ""acc--brazos-regulables-fritz-pp"", ""acc--brazos-regulables-2d-pu"", ""acc--nordic""]"
silla-torino-alta-pivotal,"[""acc--base-cromada"", ""acc--brazos-fijos-pp"", ""acc--brazos-regulables-pp"", ""acc--nordic""]"
silla-torino-media-pivotal,"[""acc--base-cromada"", ""acc--brazos-fijos-pp"", ""acc--brazos-regulables-pp"", ""acc--nordic""]"
silla-dream-malla,"[""acc--patas-cromadas"", ""acc--estructura-trineo-cromado"", ""acc--brazos-fijos""]"
silla-dream-tapizada,"[""acc--patas-cromadas"", ""acc--brazos-fijos""]"
silla-dream-tapizada-trineo,"[""acc--brazos-fijos""]"
silla-isonet,"[""acc--brazos-fijos"", ""acc--eco-clean""]"
silla-flex,"[""acc--trineo-cromado""]"
silla-iso-revolution-tapizada,"[""acc--patas-cromadas"", ""acc--brazos-plasticos-negros-con-pad-negro""]"
silla-iso-smart-completa-tap,"[""acc--patas-grises"", ""acc--patas-cromadas"", ""acc--brazos-fijos""]"
silla-isosceles,"[""acc--patas-grises"", ""acc--patas-cromadas"", ""acc--brazos-fijos"", ""acc--paleta-nacional-universitaria""]"
silla-kyos-asiento-tapizado,"[""acc--patas-cromadas"", ""acc--estructura-trineo-cromada"", ""acc--brazos-fijos""]"
